order_id,city,locality,raw_address,lat,lng,status
ORD-1,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.752814,75.893787,SUCCESS
ORD-2,Indore,Vijay Nagar,bada ped wali chai,22.753348,75.893637,SUCCESS
ORD-3,Indore,Vijay Nagar,chai tapri ke piche gate,22.753377,75.893599,SUCCESS
ORD-4,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.752967,75.894017,SUCCESS
ORD-5,Indore,Vijay Nagar,tea stall near big tree,22.753151,75.89397,SUCCESS
ORD-6,Indore,Vijay Nagar,bada ped wali chai,22.753532,75.893827,SUCCESS
ORD-7,Indore,Vijay Nagar,tea stall near big tree,22.753033,75.893503,SUCCESS
ORD-8,Indore,Vijay Nagar,chai tapri ke piche gate,22.753128,75.893887,SUCCESS
ORD-9,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753299,75.893393,SUCCESS
ORD-10,Indore,Vijay Nagar,tea stall near big tree,22.753126,75.894071,SUCCESS
ORD-11,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.752866,75.893578,SUCCESS
ORD-12,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753524,75.893836,SUCCESS
ORD-13,Indore,Vijay Nagar,bada ped wali chai,22.753423,75.894015,SUCCESS
ORD-14,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.752906,75.893576,SUCCESS
ORD-15,Indore,Vijay Nagar,bada ped wali chai,22.753506,75.893451,SUCCESS
ORD-16,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753533,75.894004,SUCCESS
ORD-17,Indore,Vijay Nagar,bada ped wali chai,22.752884,75.893401,SUCCESS
ORD-18,Indore,Vijay Nagar,bada ped wali chai,22.75313,75.893651,SUCCESS
ORD-19,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.752817,75.893587,SUCCESS
ORD-20,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753047,75.893447,SUCCESS
ORD-21,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.752984,75.894089,SUCCESS
ORD-22,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.752875,75.893742,SUCCESS
ORD-23,Indore,Vijay Nagar,chai tapri ke piche gate,22.752832,75.893634,SUCCESS
ORD-24,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753516,75.89354,SUCCESS
ORD-25,Indore,Vijay Nagar,bada ped wali chai,22.752885,75.893415,SUCCESS
ORD-26,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753331,75.893613,SUCCESS
ORD-27,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753161,75.893498,SUCCESS
ORD-28,Indore,Vijay Nagar,bada ped wali chai,22.753053,75.89361,SUCCESS
ORD-29,Indore,Vijay Nagar,tea stall near big tree,22.753391,75.893745,SUCCESS
ORD-30,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753422,75.893767,SUCCESS
ORD-31,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753263,75.893814,SUCCESS
ORD-32,Indore,Vijay Nagar,tea stall near big tree,22.753338,75.89368,SUCCESS
ORD-33,Indore,Vijay Nagar,chai tapri ke piche gate,22.752854,75.893995,SUCCESS
ORD-34,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753062,75.893789,SUCCESS
ORD-35,Indore,Vijay Nagar,bada ped wali chai,22.753149,75.8935,SUCCESS
ORD-36,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753536,75.893908,SUCCESS
ORD-37,Indore,Vijay Nagar,chai tapri ke piche gate,22.752935,75.894082,SUCCESS
ORD-38,Indore,Vijay Nagar,chai tapri ke piche gate,22.753436,75.893967,SUCCESS
ORD-39,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753,75.893454,SUCCESS
ORD-40,Indore,Vijay Nagar,bada ped wali chai,22.753236,75.893507,SUCCESS
ORD-41,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753115,75.893513,SUCCESS
ORD-42,Indore,Vijay Nagar,chai tapri ke piche gate,22.753421,75.894031,SUCCESS
ORD-43,Indore,Vijay Nagar,bada ped wali chai,22.753021,75.893329,SUCCESS
ORD-44,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.75341,75.893882,SUCCESS
ORD-45,Indore,Vijay Nagar,tea stall near big tree,22.752915,75.893702,SUCCESS
ORD-46,Indore,Vijay Nagar,bada ped wali chai,22.752916,75.894054,SUCCESS
ORD-47,Indore,Vijay Nagar,bada ped wali chai,22.753382,75.893401,SUCCESS
ORD-48,Indore,Vijay Nagar,tea stall near big tree,22.753411,75.894104,SUCCESS
ORD-49,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753122,75.894001,SUCCESS
ORD-50,Indore,Vijay Nagar,tea stall near big tree,22.7532,75.893791,SUCCESS
ORD-51,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753375,75.893578,SUCCESS
ORD-52,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.752939,75.893317,SUCCESS
ORD-53,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.752972,75.893938,SUCCESS
ORD-54,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753016,75.893859,SUCCESS
ORD-55,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753296,75.893606,SUCCESS
ORD-56,Indore,Vijay Nagar,bada ped wali chai,22.753545,75.893771,SUCCESS
ORD-57,Indore,Vijay Nagar,bada ped wali chai,22.753426,75.893911,SUCCESS
ORD-58,Indore,Vijay Nagar,chai tapri ke piche gate,22.753406,75.893408,SUCCESS
ORD-59,Indore,Vijay Nagar,bada ped wali chai,22.753024,75.893632,SUCCESS
ORD-60,Indore,Vijay Nagar,tea stall near big tree,22.752808,75.894069,SUCCESS
ORD-61,Indore,Vijay Nagar,tea stall near big tree,22.753363,75.894025,SUCCESS
ORD-62,Indore,Vijay Nagar,tea stall near big tree,22.753023,75.894009,SUCCESS
ORD-63,Indore,Vijay Nagar,bada ped wali chai,22.753,75.893643,SUCCESS
ORD-64,Indore,Vijay Nagar,bada ped wali chai,22.753401,75.893636,SUCCESS
ORD-65,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.75323,75.893695,SUCCESS
ORD-66,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753167,75.893383,SUCCESS
ORD-67,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.75281,75.893598,SUCCESS
ORD-68,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.752957,75.893666,SUCCESS
ORD-69,Indore,Vijay Nagar,tea stall near big tree,22.753353,75.893747,SUCCESS
ORD-70,Indore,Vijay Nagar,tea stall near big tree,22.753141,75.893958,SUCCESS
ORD-71,Indore,Vijay Nagar,bada ped wali chai,22.753525,75.893771,SUCCESS
ORD-72,Indore,Vijay Nagar,tea stall near big tree,22.753185,75.893421,SUCCESS
ORD-73,Indore,Vijay Nagar,bada ped wali chai,22.752849,75.893312,SUCCESS
ORD-74,Indore,Vijay Nagar,tea stall near big tree,22.753266,75.89352,SUCCESS
ORD-75,Indore,Vijay Nagar,bada ped wali chai,22.753256,75.893446,SUCCESS
ORD-76,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753482,75.893993,SUCCESS
ORD-77,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753352,75.893764,SUCCESS
ORD-78,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753331,75.893481,SUCCESS
ORD-79,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753455,75.893689,SUCCESS
ORD-80,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753253,75.893306,SUCCESS
ORD-81,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.75349,75.893603,SUCCESS
ORD-82,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753472,75.893631,SUCCESS
ORD-83,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753323,75.893733,SUCCESS
ORD-84,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.752929,75.893304,SUCCESS
ORD-85,Indore,Vijay Nagar,bada ped wali chai,22.752892,75.894064,SUCCESS
ORD-86,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.752914,75.893653,SUCCESS
ORD-87,Indore,Vijay Nagar,chai tapri ke piche gate,22.753354,75.893353,SUCCESS
ORD-88,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753379,75.894082,SUCCESS
ORD-89,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753417,75.893532,SUCCESS
ORD-90,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.75334,75.893971,SUCCESS
ORD-91,Indore,Vijay Nagar,tea stall near big tree,22.75307,75.893417,SUCCESS
ORD-92,Indore,Vijay Nagar,tea stall near big tree,22.752854,75.893688,SUCCESS
ORD-93,Indore,Vijay Nagar,bada ped wali chai,22.753493,75.893999,SUCCESS
ORD-94,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.752844,75.893366,SUCCESS
ORD-95,Indore,Vijay Nagar,bada ped wali chai,22.752893,75.893748,SUCCESS
ORD-96,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753245,75.893613,SUCCESS
ORD-97,Indore,Vijay Nagar,bada ped wali chai,22.753122,75.893666,SUCCESS
ORD-98,Indore,Vijay Nagar,tea stall near big tree,22.75342,75.893868,SUCCESS
ORD-99,Indore,Vijay Nagar,bada ped wali chai,22.752802,75.893377,SUCCESS
ORD-100,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.752932,75.893594,SUCCESS
ORD-101,Indore,Vijay Nagar,chai tapri ke piche gate,22.752866,75.894053,SUCCESS
ORD-102,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753592,75.893526,SUCCESS
ORD-103,Indore,Vijay Nagar,chai tapri ke piche gate,22.753013,75.89397,SUCCESS
ORD-104,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.752871,75.89376,SUCCESS
ORD-105,Indore,Vijay Nagar,chai tapri ke piche gate,22.752917,75.893654,SUCCESS
ORD-106,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753595,75.893328,SUCCESS
ORD-107,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.75325,75.893662,SUCCESS
ORD-108,Indore,Vijay Nagar,bada ped wali chai,22.75308,75.893665,SUCCESS
ORD-109,Indore,Vijay Nagar,tea stall near big tree,22.753109,75.893797,SUCCESS
ORD-110,Indore,Vijay Nagar,tea stall near big tree,22.753179,75.894075,SUCCESS
ORD-111,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.75349,75.893367,SUCCESS
ORD-112,Indore,Vijay Nagar,chai tapri ke piche gate,22.752854,75.893593,SUCCESS
ORD-113,Indore,Vijay Nagar,bada ped wali chai,22.753456,75.893435,SUCCESS
ORD-114,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.753283,75.89346,SUCCESS
ORD-115,Indore,Vijay Nagar,tea stall near big tree,22.752904,75.893709,SUCCESS
ORD-116,Indore,Vijay Nagar,tea stall near big tree,22.75317,75.893619,SUCCESS
ORD-117,Indore,Vijay Nagar,bada ped wali chai,22.752985,75.893486,SUCCESS
ORD-118,Indore,Vijay Nagar,tea stall near big tree,22.752857,75.893856,SUCCESS
ORD-119,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.752958,75.893461,SUCCESS
ORD-120,Indore,Vijay Nagar,chai tapri ke piche gate,22.752886,75.893364,SUCCESS
ORD-121,Indore,Vijay Nagar,bada ped wali chai,22.752981,75.893987,SUCCESS
ORD-122,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.752837,75.893885,SUCCESS
ORD-123,Indore,Vijay Nagar,chai tapri ke piche gate,22.753016,75.893396,SUCCESS
ORD-124,Indore,Vijay Nagar,tea stall near big tree,22.752878,75.893485,SUCCESS
ORD-125,Indore,Vijay Nagar,chai tapri ke piche gate,22.753383,75.893525,SUCCESS
ORD-126,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753174,75.894035,SUCCESS
ORD-127,Indore,Vijay Nagar,chai ki dukaan ped ke paas,22.75291,75.893879,SUCCESS
ORD-128,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.752886,75.893557,SUCCESS
ORD-129,Indore,Vijay Nagar,bada ped wali chai,22.753389,75.893401,SUCCESS
ORD-130,Indore,Vijay Nagar,bada ped wali chai,22.753502,75.893517,SUCCESS
ORD-131,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753312,75.894043,SUCCESS
ORD-132,Indore,Vijay Nagar,tea stall near big tree,22.753352,75.893878,SUCCESS
ORD-133,Indore,Vijay Nagar,chai tapri ke paas bada ped,22.753226,75.893955,SUCCESS
ORD-134,Indore,Vijay Nagar,tea stall near big tree,22.753008,75.893334,SUCCESS
ORD-135,Indore,Vijay Nagar,tea stall near big tree,22.753385,75.893837,SUCCESS
ORD-136,Indore,Vijay Nagar,bada ped wali chai,22.753568,75.893319,SUCCESS
ORD-137,Indore,Vijay Nagar,bada ped wali chai,22.753255,75.893392,SUCCESS
ORD-138,Indore,Vijay Nagar,bada ped wali chai,22.753173,75.893674,SUCCESS
ORD-139,Indore,Vijay Nagar,chai tapri ke piche gate,22.752928,75.89358,SUCCESS
ORD-140,Indore,Vijay Nagar,tea stall near big tree,22.753343,75.893301,SUCCESS
ORD-141,Indore,Vijay Nagar,tea stall near big tree,22.752843,75.893595,SUCCESS
ORD-142,Indore,Vijay Nagar,chai tapri ke piche gate,22.75294,75.893729,SUCCESS
ORD-143,Indore,Vijay Nagar,bada ped wali chai,22.753433,75.893721,SUCCESS
ORD-144,Indore,Vijay Nagar,mandir ke paas wali society,22.754993,75.89228,SUCCESS
ORD-145,Indore,Vijay Nagar,temple behind apartments,22.755157,75.891928,SUCCESS
ORD-146,Indore,Vijay Nagar,society ke piche mandir,22.754412,75.8922,SUCCESS
ORD-147,Indore,Vijay Nagar,mandir ke peeche wali society,22.754424,75.891703,SUCCESS
ORD-148,Indore,Vijay Nagar,mandir ke peeche wali society,22.755111,75.891549,SUCCESS
ORD-149,Indore,Vijay Nagar,society ke piche mandir,22.755144,75.891617,SUCCESS
ORD-150,Indore,Vijay Nagar,temple behind apartments,22.754642,75.892227,SUCCESS
ORD-151,Indore,Vijay Nagar,mandir ke paas wali society,22.755139,75.89203,SUCCESS
ORD-152,Indore,Vijay Nagar,temple behind apartments,22.754876,75.891609,SUCCESS
ORD-153,Indore,Vijay Nagar,mandir ke peeche wali society,22.754787,75.891562,SUCCESS
ORD-154,Indore,Vijay Nagar,mandir ke peeche wali society,22.754911,75.891504,SUCCESS
ORD-155,Indore,Vijay Nagar,society ke piche mandir,22.754986,75.891566,SUCCESS
ORD-156,Indore,Vijay Nagar,temple behind apartments,22.754784,75.891782,SUCCESS
ORD-157,Indore,Vijay Nagar,mandir ke paas wali society,22.754795,75.891515,SUCCESS
ORD-158,Indore,Vijay Nagar,society ke piche mandir,22.755063,75.891892,SUCCESS
ORD-159,Indore,Vijay Nagar,mandir ke peeche wali society,22.754644,75.89229,SUCCESS
ORD-160,Indore,Vijay Nagar,mandir ke peeche wali society,22.755182,75.892228,SUCCESS
ORD-161,Indore,Vijay Nagar,society ke piche mandir,22.754995,75.891527,SUCCESS
ORD-162,Indore,Vijay Nagar,mandir ke peeche wali society,22.754828,75.891767,SUCCESS
ORD-163,Indore,Vijay Nagar,mandir ke peeche wali society,22.754395,75.891655,SUCCESS
ORD-164,Indore,Vijay Nagar,mandir ke peeche wali society,22.754444,75.891573,SUCCESS
ORD-165,Indore,Vijay Nagar,mandir ke peeche wali society,22.754973,75.892022,SUCCESS
ORD-166,Indore,Vijay Nagar,mandir ke peeche wali society,22.754873,75.891848,SUCCESS
ORD-167,Indore,Vijay Nagar,temple behind apartments,22.754444,75.891584,SUCCESS
ORD-168,Indore,Vijay Nagar,temple behind apartments,22.754856,75.891749,SUCCESS
ORD-169,Indore,Vijay Nagar,temple behind apartments,22.755132,75.89165,SUCCESS
ORD-170,Indore,Vijay Nagar,temple behind apartments,22.754518,75.89196,SUCCESS
ORD-171,Indore,Vijay Nagar,mandir ke peeche wali society,22.75444,75.892195,SUCCESS
ORD-172,Indore,Vijay Nagar,mandir ke peeche wali society,22.754962,75.891896,SUCCESS
ORD-173,Indore,Vijay Nagar,mandir ke paas wali society,22.755179,75.891653,SUCCESS
ORD-174,Indore,Vijay Nagar,mandir ke peeche wali society,22.754932,75.892074,SUCCESS
ORD-175,Indore,Vijay Nagar,mandir ke peeche wali society,22.754669,75.892097,SUCCESS
ORD-176,Indore,Vijay Nagar,mandir ke paas wali society,22.754522,75.891753,SUCCESS
ORD-177,Indore,Vijay Nagar,mandir ke peeche wali society,22.754626,75.892095,SUCCESS
ORD-178,Indore,Vijay Nagar,mandir ke peeche wali society,22.755193,75.891926,SUCCESS
ORD-179,Indore,Vijay Nagar,mandir ke peeche wali society,22.754632,75.891946,SUCCESS
ORD-180,Indore,Vijay Nagar,society ke piche mandir,22.755027,75.891616,SUCCESS
ORD-181,Indore,Vijay Nagar,mandir ke peeche wali society,22.754811,75.891609,SUCCESS
ORD-182,Indore,Vijay Nagar,mandir ke paas wali society,22.754409,75.892293,SUCCESS
ORD-183,Indore,Vijay Nagar,mandir ke peeche wali society,22.754425,75.892255,SUCCESS
ORD-184,Indore,Vijay Nagar,temple behind apartments,22.755011,75.891744,SUCCESS
ORD-185,Indore,Vijay Nagar,mandir ke paas wali society,22.754547,75.891968,SUCCESS
ORD-186,Indore,Vijay Nagar,society ke piche mandir,22.754661,75.892294,SUCCESS
ORD-187,Indore,Vijay Nagar,mandir ke peeche wali society,22.754817,75.891612,SUCCESS
ORD-188,Indore,Vijay Nagar,mandir ke peeche wali society,22.75514,75.892141,SUCCESS
ORD-189,Indore,Vijay Nagar,mandir ke peeche wali society,22.754815,75.891965,SUCCESS
ORD-190,Indore,Vijay Nagar,society ke piche mandir,22.754733,75.891841,SUCCESS
ORD-191,Indore,Vijay Nagar,temple behind apartments,22.755086,75.891686,SUCCESS
ORD-192,Indore,Vijay Nagar,mandir ke paas wali society,22.75456,75.892229,SUCCESS
ORD-193,Indore,Vijay Nagar,society ke piche mandir,22.754409,75.891873,SUCCESS
ORD-194,Indore,Vijay Nagar,mandir ke peeche wali society,22.754682,75.89174,SUCCESS
ORD-195,Indore,Vijay Nagar,temple behind apartments,22.754498,75.891911,SUCCESS
ORD-196,Indore,Vijay Nagar,mandir ke peeche wali society,22.755102,75.89182,SUCCESS
ORD-197,Indore,Vijay Nagar,mandir ke peeche wali society,22.75495,75.892045,SUCCESS
ORD-198,Indore,Vijay Nagar,mandir ke peeche wali society,22.754813,75.891871,SUCCESS
ORD-199,Indore,Vijay Nagar,society ke piche mandir,22.755047,75.891872,SUCCESS
ORD-200,Indore,Vijay Nagar,temple behind apartments,22.754488,75.891829,SUCCESS
ORD-201,Indore,Vijay Nagar,mandir ke paas wali society,22.754781,75.892074,SUCCESS
ORD-202,Indore,Vijay Nagar,mandir ke peeche wali society,22.754487,75.892125,SUCCESS
ORD-203,Indore,Vijay Nagar,society ke piche mandir,22.754897,75.892234,SUCCESS
ORD-204,Indore,Vijay Nagar,temple behind apartments,22.75505,75.891965,SUCCESS
ORD-205,Indore,Vijay Nagar,mandir ke paas wali society,22.755108,75.892058,SUCCESS
ORD-206,Indore,Vijay Nagar,society ke piche mandir,22.754482,75.891662,SUCCESS
ORD-207,Indore,Vijay Nagar,mandir ke peeche wali society,22.754547,75.892088,SUCCESS
ORD-208,Indore,Vijay Nagar,temple behind apartments,22.754959,75.891628,SUCCESS
ORD-209,Indore,Vijay Nagar,mandir ke paas wali society,22.754895,75.89216,SUCCESS
ORD-210,Indore,Vijay Nagar,society ke piche mandir,22.7549,75.892028,SUCCESS
ORD-211,Indore,Vijay Nagar,society ke piche mandir,22.754928,75.891499,SUCCESS
ORD-212,Indore,Vijay Nagar,temple behind apartments,22.755016,75.892235,SUCCESS
ORD-213,Indore,Vijay Nagar,mandir ke peeche wali society,22.754607,75.891509,SUCCESS
ORD-214,Indore,Vijay Nagar,society ke piche mandir,22.754479,75.891989,SUCCESS
ORD-215,Indore,Vijay Nagar,society ke piche mandir,22.755,75.891774,SUCCESS
ORD-216,Indore,Vijay Nagar,mandir ke peeche wali society,22.754735,75.892061,SUCCESS
ORD-217,Indore,Vijay Nagar,temple behind apartments,22.754434,75.892275,SUCCESS
ORD-218,Indore,Vijay Nagar,mandir ke paas wali society,22.755004,75.891961,SUCCESS
ORD-219,Indore,Vijay Nagar,mandir ke peeche wali society,22.755204,75.891646,SUCCESS
ORD-220,Indore,Vijay Nagar,mandir ke peeche wali society,22.754639,75.891575,SUCCESS
ORD-221,Indore,Vijay Nagar,temple behind apartments,22.754973,75.891782,SUCCESS
ORD-222,Indore,Vijay Nagar,temple behind apartments,22.755063,75.891665,SUCCESS
ORD-223,Indore,Vijay Nagar,mandir ke peeche wali society,22.754813,75.892105,SUCCESS
ORD-224,Indore,Vijay Nagar,mandir ke peeche wali society,22.755069,75.891712,SUCCESS
ORD-225,Indore,Vijay Nagar,mandir ke peeche wali society,22.754592,75.891954,SUCCESS
ORD-226,Indore,Vijay Nagar,temple behind apartments,22.754905,75.891561,SUCCESS
ORD-227,Indore,Vijay Nagar,mandir ke peeche wali society,22.754809,75.891498,SUCCESS
ORD-228,Indore,Vijay Nagar,mandir ke paas wali society,22.754785,75.891769,SUCCESS
ORD-229,Indore,Vijay Nagar,mandir ke paas wali society,22.755189,75.891588,SUCCESS
ORD-230,Indore,Vijay Nagar,society ke piche mandir,22.754938,75.89171,SUCCESS
ORD-231,Indore,Vijay Nagar,mandir ke paas wali society,22.754429,75.892067,SUCCESS
ORD-232,Indore,Vijay Nagar,temple behind apartments,22.75457,75.892046,SUCCESS
ORD-233,Indore,Vijay Nagar,mandir ke peeche wali society,22.754851,75.891518,SUCCESS
ORD-234,Indore,Vijay Nagar,society ke piche mandir,22.754936,75.891811,SUCCESS
ORD-235,Indore,Vijay Nagar,temple behind apartments,22.754441,75.892148,SUCCESS
ORD-236,Indore,Vijay Nagar,mandir ke paas wali society,22.755117,75.892189,SUCCESS
ORD-237,Indore,Vijay Nagar,temple behind apartments,22.754538,75.892275,SUCCESS
ORD-238,Indore,Vijay Nagar,mandir ke peeche wali society,22.754879,75.891841,SUCCESS
ORD-239,Indore,Vijay Nagar,temple behind apartments,22.754868,75.89173,SUCCESS
ORD-240,Indore,Vijay Nagar,mandir ke peeche wali society,22.75513,75.89203,SUCCESS
ORD-241,Indore,Vijay Nagar,mandir ke peeche wali society,22.754969,75.892028,SUCCESS
ORD-242,Indore,Vijay Nagar,society ke piche mandir,22.75455,75.891903,SUCCESS
